Chrome	r5.49Start	r5.49Stop	DistBetween	LengthGene1	LengthGene2
2L	9839	21376	355	1955	11537
2L	21823	25155	447	11537	3332
2L	25402	65404	247	3332	40002
2L	66584	71390	1180	40002	4806
2L	71757	76211	367	4806	4454
2L	76348	77783	137	4454	1435
2L	82421	87387	4638	1435	4966
2L	94739	102086	7352	4966	7347
2L	102380	104142	294	7347	1762
2L	103962	106732	0	1762	2770
2L	106903	114432	171	2770	7529
2L	114726	156030	294	7529	41304
2L	115365	116488	0	41304	1123
2L	116970	121754	482	1123	4784
2L	122624	130791	870	4784	8167
2L	132060	134472	1269	8167	2412
2L	138384	140992	3912	2412	2608
2L	138384	140992	0	2608	2608
2L	141077	143091	85	2608	2014
2L	143323	144227	232	2014	904
2L	144231	153300	4	904	9069
2L	153539	155305	239	9069	1766
2L	156029	157666	724	1766	1637
2L	157836	158664	170	1637	828
2L	159032	203250	368	828	44218
2L	203779	204782	529	44218	1003
2L	204743	207297	0	1003	2554
2L	207179	210725	0	2554	3546
2L	210735	250823	10	3546	40088
2L	232487	234208	0	40088	1721
2L	251039	252373	16831	1721	1334
2L	252589	271744	216	1334	19155
2L	259949	267505	0	19155	7556
2L	269088	271626	1583	7556	2538
2L	271912	273715	286	2538	1803
2L	273918	274766	203	1803	848
2L	274740	277371	0	848	2631
2L	277587	282167	216	2631	4580
2L	281971	283281	0	4580	1310
2L	283384	291751	103	1310	8367
2L	287252	289144	0	8367	1892
2L	292419	293222	3275	1892	803
2L	292959	294681	0	803	1722
2L	295122	297449	441	1722	2327
2L	297880	305233	431	2327	7353
2L	305935	347927	702	7353	41992
2L	318362	319259	0	41992	897
2L	320279	321248	1020	897	969
2L	322101	323091	853	969	990
2L	325522	329761	2431	990	4239
2L	329910	332335	149	4239	2425
2L	355565	357874	23230	2425	2309
2L	378112	387439	20238	2309	9327
2L	396595	402198	9156	9327	5603
2L	404305	407969	2107	5603	3664
2L	408030	414777	61	3664	6747
2L	415067	418536	290	6747	3469
2L	418434	419652	0	3469	1218
2L	419952	420864	300	1218	912
2L	420895	421450	31	912	555
2L	421771	422489	321	555	718
2L	423417	425321	928	718	1904
2L	431227	448701	5906	1904	17474
2L	448254	453024	0	17474	4770
2L	453108	454654	84	4770	1546
2L	455531	458745	877	1546	3214
2L	458876	475016	131	3214	16140
2L	473013	476170	0	16140	3157
2L	476220	540560	50	3157	64340
2L	476446	479688	0	64340	3242
2L	540599	542580	60911	3242	1981
2L	542786	544653	206	1981	1867
2L	545129	547096	476	1867	1967
2L	547016	552454	0	1967	5438
2L	553742	560310	1288	5438	6568
2L	559612	560523	0	6568	911
2L	560568	563347	45	911	2779
2L	564163	566472	816	2779	2309
2L	566366	568121	0	2309	1755
2L	568340	572907	219	1755	4567
2L	573033	574264	126	4567	1231
2L	574291	575734	27	1231	1443
2L	575711	576896	0	1443	1185
2L	577486	579549	590	1185	2063
2L	583540	594810	3991	2063	11270
2L	602813	604430	8003	11270	1617
2L	608340	609134	3910	1617	794
2L	620298	621258	11164	794	960
2L	624617	625556	3359	960	939
2L	640021	714968	14465	939	74947
2L	728412	730564	13444	74947	2152
2L	737212	744395	6648	2152	7183
2L	750609	762142	6214	7183	11533
2L	773547	774017	11405	11533	470
2L	776536	776892	2519	470	356
2L	779173	779655	2281	356	482
2L	780482	782885	827	482	2403
2L	784336	788776	1451	2403	4440
2L	786153	790798	0	4440	4645
2L	810577	811531	19779	4645	954
2L	811584	813380	53	954	1796
2L	813314	815950	0	1796	2636
2L	815993	818096	43	2636	2103
2L	816994	817950	0	2103	956
2L	818079	819508	129	956	1429
2L	819964	821209	456	1429	1245
2L	821422	824337	213	1245	2915
2L	824329	825861	0	2915	1532
2L	825969	833241	108	1532	7272
2L	833584	851071	343	7272	17487
2L	851251	852730	180	17487	1479
2L	852768	854539	38	1479	1771
2L	855337	856639	798	1771	1302
2L	860309	861806	3670	1302	1497
2L	861849	868354	43	1497	6505
2L	868673	869857	319	6505	1184
2L	870465	877038	608	1184	6573
2L	877302	878270	264	6573	968
2L	878181	885141	0	968	6960
2L	898644	901316	13503	6960	2672
2L	914086	917805	12770	2672	3719
2L	922793	958098	4988	3719	35305
2L	1008378	1048053	50280	35305	39675
2L	1026105	1026897	0	39675	792
2L	1037246	1038685	10349	792	1439
2L	1049800	1077815	11115	1439	28015
2L	1077948	1080803	133	28015	2855
2L	1080911	1083378	108	2855	2467
2L	1083091	1102504	0	2467	19413
2L	1103254	1108373	750	19413	5119
2L	1108540	1112694	167	5119	4154
2L	1112941	1114138	247	4154	1197
2L	1114654	1128953	516	1197	14299
2L	1129316	1132411	363	14299	3095
2L	1132332	1134098	0	3095	1766
2L	1134693	1141156	595	1766	6463
2L	1143201	1147395	2045	6463	4194
2L	1147822	1149449	427	4194	1627
2L	1149445	1150677	0	1627	1232
2L	1150766	1151764	89	1232	998
2L	1151678	1158262	0	998	6584
2L	1158661	1160220	399	6584	1559
2L	1160290	1163886	70	1559	3596
2L	1164443	1166425	557	3596	1982
2L	1166506	1167211	81	1982	705
2L	1167172	1170079	0	705	2907
2L	1170181	1170789	102	2907	608
2L	1170753	1172805	0	608	2052
2L	1173009	1177589	204	2052	4580
2L	1177690	1182454	101	4580	4764
2L	1182297	1184020	0	4764	1723
2L	1184065	1185698	45	1723	1633
2L	1185757	1196807	59	1633	11050
2L	1198465	1199204	1658	11050	739
2L	1200671	1201220	1467	739	549
2L	1204215	1205250	2995	549	1035
2L	1216854	1217785	11604	1035	931
2L	1219293	1229802	1508	931	10509
2L	1240036	1243018	10234	10509	2982
2L	1256417	1296596	13399	2982	40179
2L	1329161	1329904	32565	40179	743
2L	1334245	1334932	4341	743	687
2L	1343443	1344171	8511	687	728
2L	1344480	1345144	309	728	664
2L	1351805	1352869	6661	664	1064
2L	1352970	1354109	101	1064	1139
2L	1354101	1354919	0	1139	818
2L	1354911	1355924	0	818	1013
2L	1358925	1359790	3001	1013	865
2L	1359983	1361732	193	865	1749
2L	1368089	1369050	6357	1749	961
2L	1380086	1420449	11036	961	40363
2L	1442726	1443316	22277	40363	590
2L	1492295	1493859	48979	590	1564
2L	1494070	1495456	211	1564	1386
2L	1495460	1497071	4	1386	1611
2L	1497243	1498583	172	1611	1340
2L	1498455	1500608	0	1340	2153
2L	1500835	1502904	227	2153	2069
2L	1516795	1517478	13891	2069	683
2L	1517533	1518148	55	683	615
2L	1520491	1522156	2343	615	1665
2L	1522697	1524257	541	1665	1560
2L	1555129	1608404	30872	1560	53275
2L	1584866	1587155	0	53275	2289
2L	1594822	1611157	7667	2289	16335
2L	1611410	1612576	253	16335	1166
2L	1612429	1614160	0	1166	1731
2L	1651258	1704682	37098	1731	53424
2L	1704902	1706962	220	53424	2060
2L	1707132	1710421	170	2060	3289
2L	1710462	1711465	41	3289	1003
2L	1711302	1715851	0	1003	4549
2L	1716244	1724388	393	4549	8144
2L	1724768	1729636	380	8144	4868
2L	1728732	1729575	0	4868	843
2L	1729887	1731070	312	843	1183
2L	1731033	1732356	0	1183	1323
2L	1732524	1750612	168	1323	18088
2L	1750687	1752122	75	18088	1435
2L	1752308	1752848	186	1435	540
2L	1755253	1756451	2405	540	1198
2L	1758286	1759093	1835	1198	807
2L	1784062	1785286	24969	807	1224
2L	1789141	1790361	3855	1224	1220
2L	1790617	1791823	256	1220	1206
2L	1792057	1793268	234	1206	1211
2L	1793668	1794917	400	1211	1249
2L	1821256	1823331	26339	1249	2075
2L	1824172	1826500	841	2075	2328
2L	1831627	1832565	5127	2328	938
2L	1836538	1858550	3973	938	22012
2L	1858609	1881480	59	22012	22871
2L	1869803	1871032	0	22871	1229
2L	1882201	1884059	11169	1229	1858
2L	1884622	1944289	563	1858	59667
2L	1945150	1945709	861	59667	559
2L	1945815	1946728	106	559	913
2L	1950239	1970362	3511	913	20123
2L	1973957	1975413	3595	20123	1456
2L	1975463	1980755	50	1456	5292
2L	1981176	1982099	421	5292	923
2L	1982217	1984514	118	923	2297
2L	1984512	1987758	0	2297	3246
2L	1988290	1988940	532	3246	650
2L	1991505	1992160	2565	650	655
2L	1997102	2006313	4942	655	9211
2L	2006763	2007193	450	9211	430
2L	2008456	2009072	1263	430	616
2L	2009859	2030788	787	616	20929
2L	2032519	2036041	1731	20929	3522
2L	2037714	2044372	1673	3522	6658
2L	2045494	2048054	1122	6658	2560
2L	2054589	2057967	6535	2560	3378
2L	2058790	2109878	823	3378	51088
2L	2079919	2081286	0	51088	1367
2L	2127345	2129237	46059	1367	1892
2L	2130813	2137296	1576	1892	6483
2L	2137350	2145187	54	6483	7837
2L	2145297	2147275	110	7837	1978
2L	2147518	2151664	243	1978	4146
2L	2151754	2155389	90	4146	3635
2L	2155753	2156790	364	3635	1037
2L	2156484	2178754	0	1037	22270
2L	2181962	2185495	3208	22270	3533
2L	2189913	2192386	4418	3533	2473
2L	2192525	2197912	139	2473	5387
2L	2203721	2206166	5809	5387	2445
2L	2206525	2209102	359	2445	2577
2L	2209574	2212571	472	2577	2997
2L	2212738	2214211	167	2997	1473
2L	2214266	2215167	55	1473	901
2L	2214972	2216311	0	901	1339
2L	2216503	2217246	192	1339	743
2L	2217290	2220625	44	743	3335
2L	2220748	2225544	123	3335	4796
2L	2225545	2226294	1	4796	749
2L	2226342	2231099	48	749	4757
2L	2231106	2236844	7	4757	5738
2L	2237076	2238251	232	5738	1175
2L	2238304	2239384	53	1175	1080
2L	2239414	2240593	30	1080	1179
2L	2242378	2245274	1785	1179	2896
2L	2250431	2251275	5157	2896	844
2L	2251510	2252341	235	844	831
2L	2253045	2253852	704	831	807
2L	2254176	2255050	324	807	874
2L	2263442	2264241	8392	874	799
2L	2264231	2265321	0	799	1090
2L	2268226	2269119	2905	1090	893
2L	2271319	2279714	2200	893	8395
2L	2285163	2285926	5449	8395	763
2L	2285925	2286873	0	763	948
2L	2288503	2289416	1630	948	913
2L	2290224	2290738	808	913	514
2L	2300103	2300888	9365	514	785
2L	2307948	2308872	7060	785	924
2L	2308761	2357356	0	924	48595
2L	2311680	2358944	0	48595	47264
2L	2359196	2365273	252	47264	6077
2L	2365345	2370137	72	6077	4792
2L	2370152	2371524	15	4792	1372
2L	2372455	2374627	931	1372	2172
2L	2374713	2375697	86	2172	984
2L	2375841	2380506	144	984	4665
2L	2381097	2383073	591	4665	1976
2L	2383202	2384747	129	1976	1545
2L	2384761	2385792	14	1545	1031
2L	2391660	2410662	5868	1031	19002
2L	2410624	2415322	0	19002	4698
2L	2415359	2416720	37	4698	1361
2L	2416792	2417965	72	1361	1173
2L	2418422	2420013	457	1173	1591
2L	2420830	2424647	817	1591	3817
2L	2428372	2459823	3725	3817	31451
2L	2488197	2492671	28374	31451	4474
2L	2492955	2498846	284	4474	5891
2L	2517102	2518037	18256	5891	935
2L	2551145	2552825	33108	935	1680
2L	2562483	2564830	9658	1680	2347
2L	2564886	2573037	56	2347	8151
2L	2573436	2575052	399	8151	1616
2L	2575280	2576997	228	1616	1717
2L	2577687	2579179	690	1717	1492
2L	2579201	2580172	22	1492	971
2L	2580292	2581423	120	971	1131
2L	2581281	2585430	0	1131	4149
2L	2591869	2592773	6439	4149	904
2L	2609994	2611283	17221	904	1289
2L	2646577	2647720	35294	1289	1143
2L	2648360	2652369	640	1143	4009
2L	2653046	2653926	677	4009	880
2L	2654049	2655462	123	880	1413
2L	2655394	2657102	0	1413	1708
2L	2665062	2666265	7960	1708	1203
2L	2669823	2672186	3558	1203	2363
2L	2677734	2719431	5548	2363	41697
2L	2695330	2696437	0	41697	1107
2L	2725674	2739830	29237	1107	14156
2L	2739986	2743377	156	14156	3391
2L	2743375	2744934	0	3391	1559
2L	2745098	2746944	164	1559	1846
2L	2746880	2753068	0	1846	6188
2L	2752445	2758085	0	6188	5640
2L	2758427	2759677	342	5640	1250
2L	2758427	2759677	0	1250	1250
2L	2759924	2763889	247	1250	3965
2L	2763416	2765665	0	3965	2249
2L	2766233	2767281	568	2249	1048
2L	2767286	2767845	5	1048	559
2L	2767890	2768612	45	559	722
2L	2768590	2770069	0	722	1479
2L	2770135	2770904	66	1479	769
2L	2770884	2771776	0	769	892
2L	2779267	2799979	7491	892	20712
2L	2805261	2812376	5282	20712	7115
2L	2812437	2814429	61	7115	1992
2L	2814336	2815760	0	1992	1424
2L	2815970	2830248	210	1424	14278
2L	2823546	2825506	0	14278	1960
2L	2834887	2837833	9381	1960	2946
2L	2838411	2839547	578	2946	1136
2L	2840124	2842638	577	1136	2514
2L	2842589	2844513	0	2514	1924
2L	2844601	2845734	88	1924	1133
2L	2845926	2847212	192	1133	1286
2L	2847632	2848997	420	1286	1365
2L	2848989	2855778	0	1365	6789
2L	2856070	2857029	292	6789	959
2L	2857164	2868548	135	959	11384
2L	2868627	2874489	79	11384	5862
2L	2869652	2870649	0	5862	997
2L	2874872	2877168	4223	997	2296
2L	2877091	2878232	0	2296	1141
2L	2878344	2879001	112	1141	657
2L	2879112	2880708	111	657	1596
2L	2880704	2885850	0	1596	5146
2L	2885929	2954406	79	5146	68477
2L	2954762	2968434	356	68477	13672
2L	2968293	2969620	0	13672	1327
2L	2969773	2972676	153	1327	2903
2L	2972892	2974862	216	2903	1970
2L	2974859	2976859	0	1970	2000
2L	2977132	2978500	273	2000	1368
2L	2978526	2979288	26	1368	762
2L	2979562	2987723	274	762	8161
2L	2988116	2990075	393	8161	1959
2L	2989594	2992759	0	1959	3165
2L	2992870	2998726	111	3165	5856
2L	2999286	3016069	560	5856	16783
2L	3016591	3018308	522	16783	1717
2L	3018508	3021506	200	1717	2998
2L	3021309	3023141	0	2998	1832
2L	3023226	3026439	85	1832	3213
2L	3026252	3029168	0	3213	2916
2L	3029253	3030616	85	2916	1363
2L	3030539	3032300	0	1363	1761
2L	3032210	3035348	0	1761	3138
2L	3035493	3037403	145	3138	1910
2L	3037411	3038793	8	1910	1382
2L	3038826	3039812	33	1382	986
2L	3039976	3041890	164	986	1914
2L	3042551	3043593	661	1914	1042
2L	3043895	3056143	302	1042	12248
2L	3056598	3068177	455	12248	11579
2L	3068345	3144786	168	11579	76441
2L	3109672	3110998	0	76441	1326
2L	3128635	3129489	17637	1326	854
2L	3144953	3145848	15464	854	895
2L	3146056	3159643	208	895	13587
2L	3159950	3162399	307	13587	2449
2L	3162515	3163289	116	2449	774
2L	3162515	3163289	0	774	774
2L	3163645	3169462	356	774	5817
2L	3169820	3171092	358	5817	1272
2L	3171035	3172799	0	1272	1764
2L	3173283	3173826	484	1764	543
2L	3173989	3174442	163	543	453
2L	3175112	3199620	670	453	24508
2L	3269437	3271806	69817	24508	2369
2L	3275794	3280533	3988	2369	4739
2L	3291245	3294706	10712	4739	3461
2L	3294926	3303129	220	3461	8203
2L	3304100	3317418	971	8203	13318
2L	3309222	3311682	0	13318	2460
2L	3316794	3319872	5112	2460	3078
2L	3320245	3323141	373	3078	2896
2L	3324237	3326637	1096	2896	2400
2L	3327903	3329792	1266	2400	1889
2L	3330928	3332876	1136	1889	1948
2L	3332814	3334790	0	1948	1976
2L	3334875	3354829	85	1976	19954
2L	3357646	3358618	2817	19954	972
2L	3358640	3373372	22	972	14732
2L	3373567	3375711	195	14732	2144
2L	3375832	3376737	121	2144	905
2L	3377002	3378590	265	905	1588
2L	3398023	3398684	19433	1588	661
2L	3404460	3426642	5776	661	22182
2L	3410610	3411199	0	22182	589
2L	3416693	3417869	5494	589	1176
2L	3445997	3447591	28128	1176	1594
2L	3449686	3452106	2095	1594	2420
2L	3452451	3453596	345	2420	1145
2L	3453697	3457058	101	1145	3361
2L	3457329	3460371	271	3361	3042
2L	3460315	3461975	0	3042	1660
2L	3462213	3466111	238	1660	3898
2L	3466162	3467326	51	3898	1164
2L	3467416	3470007	90	1164	2591
2L	3470182	3472365	175	2591	2183
2L	3472603	3475338	238	2183	2735
2L	3478434	3479612	3096	2735	1178
2L	3480755	3491071	1143	1178	10316
2L	3493986	3508119	2915	10316	14133
2L	3509058	3510102	939	14133	1044
2L	3510478	3514656	376	1044	4178
2L	3514872	3517264	216	4178	2392
2L	3517273	3519651	9	2392	2378
2L	3519677	3522555	26	2378	2878
2L	3522521	3524056	0	2878	1535
2L	3525131	3527588	1075	1535	2457
2L	3527387	3530317	0	2457	2930
2L	3530789	3532678	472	2930	1889
2L	3539247	3548423	6569	1889	9176
2L	3578013	3580769	29590	9176	2756
2L	3604224	3606756	23455	2756	2532
2L	3619097	3621573	12341	2532	2476
2L	3621110	3621681	0	2476	571
2L	3622074	3656953	393	571	34879
2L	3662745	3692114	5792	34879	29369
2L	3669261	3669775	0	29369	514
2L	3692123	3692587	22348	514	464
2L	3692699	3693182	112	464	483
2L	3693184	3693889	2	483	705
2L	3695032	3695411	1143	705	379
2L	3696240	3696658	829	379	418
2L	3697242	3697812	584	418	570
2L	3698451	3699092	639	570	641
2L	3703659	3704253	4567	641	594
2L	3704106	3705488	0	594	1382
2L	3706551	3707063	1063	1382	512
2L	3707230	3711748	167	512	4518
2L	3712154	3712866	406	4518	712
2L	3713360	3716810	494	712	3450
2L	3716800	3717773	0	3450	973
2L	3718185	3729145	412	973	10960
2L	3730466	3754617	1321	10960	24151
2L	3757256	3769235	2639	24151	11979
2L	3771700	3784121	2465	11979	12421
2L	3784947	3785622	826	12421	675
2L	3787167	3802509	1545	675	15342
2L	3803545	3810671	1036	15342	7126
2L	3810801	3813410	130	7126	2609
2L	3825675	3827099	12265	2609	1424
2L	3836840	3839185	9741	1424	2345
2L	3862668	3867507	23483	2345	4839
2L	3867697	3871425	190	4839	3728
2L	3871271	3872458	0	3728	1187
2L	3872646	3902860	188	1187	30214
2L	3902928	3991713	68	30214	88785
2L	3911796	3914288	0	88785	2492
2L	4004080	4004480	89792	2492	400
2L	4004984	4005670	504	400	686
2L	4006041	4006606	371	686	565
2L	4007690	4007984	1084	565	294
2L	4008653	4009090	669	294	437
2L	4031377	4115749	22287	437	84372
2L	4120343	4121627	4594	84372	1284
2L	4121702	4124006	75	1284	2304
2L	4149279	4151203	25273	2304	1924
2L	4164689	4166134	13486	1924	1445
2L	4186250	4187793	20116	1445	1543
2L	4188123	4189284	330	1543	1161
2L	4189340	4198071	56	1161	8731
2L	4198404	4221796	333	8731	23392
2L	4224650	4227097	2854	23392	2447
2L	4227699	4228552	602	2447	853
2L	4257572	4258425	29020	853	853
2L	4277696	4279315	19271	853	1619
2L	4283148	4323781	3833	1619	40633
2L	4324554	4331830	773	40633	7276
2L	4333913	4345776	2083	7276	11863
2L	4352975	4354034	7199	11863	1059
2L	4361925	4380716	7891	1059	18791
2L	4380722	4382735	6	18791	2013
2L	4382925	4386062	190	2013	3137
2L	4386182	4387356	120	3137	1174
2L	4388327	4392778	971	1174	4451
2L	4392770	4393876	0	4451	1106
2L	4394196	4400487	320	1106	6291
2L	4400953	4403142	466	6291	2189
2L	4403251	4403955	109	2189	704
2L	4403992	4441282	37	704	37290
2L	4411155	4411824	0	37290	669
2L	4442320	4442985	30496	669	665
2L	4442870	4444680	0	665	1810
2L	4444732	4446765	52	1810	2033
2L	4446670	4448635	0	2033	1965
2L	4449295	4453038	660	1965	3743
2L	4453169	4454453	131	3743	1284
2L	4454626	4455207	173	1284	581
2L	4455137	4456807	0	581	1670
2L	4457186	4458364	379	1670	1178
2L	4458595	4459602	231	1178	1007
2L	4459870	4461746	268	1007	1876
2L	4461657	4463447	0	1876	1790
2L	4463611	4465075	164	1790	1464
2L	4465174	4468022	99	1464	2848
2L	4468000	4477022	0	2848	9022
2L	4477462	4595054	440	9022	117592
2L	4577719	4578201	0	117592	482
2L	4641296	4642747	63095	482	1451
2L	4642972	4646562	225	1451	3590
2L	4647051	4647920	489	3590	869
2L	4651403	4652892	3483	869	1489
2L	4682677	4687235	29785	1489	4558
2L	4683050	4684459	0	4558	1409
2L	4687513	4688956	3054	1409	1443
2L	4688965	4690702	9	1443	1737
2L	4694721	4722465	4019	1737	27744
2L	4700835	4701588	0	27744	753
